"","bspline_1_1","bspline_2_1","bspline_3_1","bspline_4_1","bspline_5_1","bspline_6_1","bspline_7_1","bspline_8_1","bspline_9_1","bspline_1_2","bspline_2_2","bspline_3_2","bspline_4_2","bspline_5_2","bspline_6_2","bspline_7_2","bspline_8_2","bspline_9_2","bspline_1_3","bspline_2_3","bspline_3_3","bspline_4_3","bspline_5_3","bspline_6_3","bspline_7_3","bspline_8_3","bspline_9_3"
"L10001",0.0229778013030955,-0.000492325065555955,0.0490693064271517,0.00653103132957709,0.124656715680068,-0.222354721056073,0.970426346193671,-0.435917476669128,0.25947474485854,0.281370659606884,0.165294685844778,1.44886141825581,-0.0263749151767435,0.615977418470648,-0.20912584145131,0.110503816467744,-0.0107081297394584,0.0219592900192641,0.0979210923516099,-0.152957706294795,0.18428705412095,0.0165574743658974,-0.00569151582704875,-0.00783824977373061,0.0286461037082211,0.0182781183372038,-0.0114189095680838
"Lindane0",0.0251485056651854,0.0423187245430193,0.0140973404670287,0.0134136909498112,0.049941256740562,0.0149894490996476,-0.00917457167452407,0.00534402746148473,-0.00196571562154713,-0.0510133866693217,0.0823708878031727,-0.117261007627663,0.128909774465762,-0.263181094009872,-0.177116158021624,-0.547520404413408,-0.577213567863052,-0.621382125849367,-0.0325757994374095,0.0522355623198859,-0.0726462768069464,0.0737220250153088,-0.00312476280037595,-0.00260594094914789,0.00271086040881319,-0.00176572140761848,0.000668985719066963
"Methomyl0",0.0101283630645437,-0.0162784098787775,0.0228247384461938,-0.0239286334850057,0.0347626043255501,0.00410513992080512,-1.09736506064318,-0.759832184218088,-0.898459433763252,-0.00304790220152936,0.00491051720619686,-0.00694032662309604,0.00746288961844687,-0.0132895429351186,0.0186756100291619,0.0125080205187539,-0.0129657337434527,0.0202617013960702,-0.00441680468095604,0.00378354367213549,0.00555646339707201,0.00675673474735204,-0.0185049735658396,0.0350540919428524,-0.037724695600995,0.0644841420047485,0.00330788157317267
"Methomyl2",0.874840064672828,1.03991020473359,0.87464457774081,0.931712862422193,0.255472813997131,0.0362901317360522,-0.281285876919684,-1.00264974272189,-0.769579850401119,0.0551178739278413,0.0453595234812636,0.00687386908323495,0.00890775409602178,-0.00513517329498118,0.0031769892918456,-0.00181066697095701,0.00101842277605407,-0.000369818079722486,-0.00194326490739038,0.00313439613582232,-0.00444653482042933,0.00483693451663773,-0.00932571153124886,0.0186818434615932,-0.0394794720270411,0.0536384533447133,0.138648471067666
"Methomyl3",0.773245766436317,0.835095461072686,1.24895811349752,0.144768001162937,1.14483048514381,-0.442802322217663,-0.571079540863251,-1.1349456457459,-0.818732189590907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methomyl4",-0.0219703778838425,0.0354502220897983,-0.0503506420880855,0.0549728622734119,-0.108535973508369,0.234338627601505,-0.568805251418533,-0.889390317309594,-0.755676603719099,0.000199057407615125,-0.000320949962288439,0.000454752657650822,-0.000492816192933625,0.000926604262707313,-0.00169838730086429,0.00286381953671033,-0.00412069783162329,-0.00333192085188428,-0.00126582527415551,0.0020584637846522,-0.00299736502035835,0.0035190048934127,-0.00996430257553889,0.0125777905170568,-0.0174191449149189,0.0163851472415796,0.147642239248194
"Methomyl5",0.0204572027324508,0.011474861028088,0.00296513704964614,0.0375714752307634,-0.0248684179293327,0.135965285358475,-0.644394123096051,-0.679829646224761,-0.831073806505065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methomyl6",0.0224387592783461,-0.0361129544640936,0.050863142847943,-0.054095220537224,0.0887038475472113,-0.0745513655145524,-0.741172801150753,-0.895935379360577,-0.596780679525915,-0.000228190766151297,0.000367901086158458,-0.000521175976006264,0.000564458122016,-0.00105697937021696,0.00190812041401114,-0.00308401411514026,0.00358471839792061,0.0127241005309517,0,0,0,0,0,0,0,0,0
"Nitric Acid0",0.0250425474589804,0.0243924275688254,0.737599512011863,0.500201254254935,0.771363635372163,0.616640400146252,0.886250819694581,-0.125016250413437,0.77878448265101,0.241780985004421,0.923498195208627,0.872507764551709,1.03812975230582,0.0079019969763299,0.803702356882734,-0.00552316081283589,0.113734396944672,0.0216310901001041,0,0,0,0,0,0,0,0,0
"Pentachlorophenol0",0.0203545896918423,0.00266501573945542,0.0360634728463786,-0.011136610486187,0.191238951165296,-0.0243962863227833,0.171872921250488,0.00427829278885427,0.0079776306298602,-0.00381420795209744,0.00604045380576008,-0.00063370978868474,-0.00361619809081117,0.0472896997768957,-0.140729131934992,0.0775693769343015,0.00767770155006397,0.0138588617839837,0,0,0,0,0,0,0,0,0
"Pentachlorophenol1",0.0533430746747434,-0.0252628314518861,0.132572909975709,0.0580870871143055,0.0908183979552666,0.612988070931861,-0.273347016816992,0.226735437131547,0.0502329743244326,-0.00381420795209744,0.00604045380576008,-0.00063370978868474,-0.00361619809081117,0.0472896997768957,-0.140729131934992,0.0775693769343015,0.00767770155006397,0.0138588617839837,0.000731677072595563,-0.00120873020867986,0.00184648011977972,-0.0024507652938708,0.0103258867211252,-0.0615923314706088,0.407801500825809,-0.0753615712641311,0.00523671949404865
"PiperonylButoxide0",-0.216078298776228,0.369748909939985,-0.355960208416453,0.515195428055698,0.7170606528154,-0.217690375884943,0.437338166328541,-0.198937430876359,0.399722009820021,0.0109811310882078,0.122538902239296,0.40837771531698,0.101196936397571,0.364379783530176,0.0800587261097767,0.0257631605617008,-0.0098009270409623,0.00645523688501788,0,0,0,0,0,0,0,0,0
"PiperonylButoxide1",-0.0631069995327526,0.149358355643971,-0.0660867014133947,0.311645286893577,0.0240334787632391,0.102160819433501,0.11656247616159,0.067497672834091,0.0473050425930953,0.65815378548425,-0.0349861127992583,0.727472336043991,0.108287599325554,0.0682246934025492,0.0541440142749587,0.0433522589152632,-0.0270877892966492,0.0284301641073694,0,0,0,0,0,0,0,0,0
"Quinoxyfen0",0.188485267431654,0.244937009189464,0.591349371495781,0.500222183884015,0.0879422641078706,0.342716176302211,-0.06412709140179,0.112513370207964,0.201026910670979,0.600462332362265,0.906305299405578,0.807011018281163,0.439655704167436,0.512427945338247,0.512045366419387,0.503093354999239,-0.0154668199583332,0.248819118965314,0.449823538806672,0.331121161276489,0.247377077586934,0.367982332436584,0.516917122726,1.36406878248521,0.535536301896275,0.772834492659876,0.639308930857204
