,fPC1,fPC2,fPC3,fPC4,sub_full,y,Repetition
22,2.726298884789483,-2.4329623871176325,1.7079160286357016,2.466675487201805,Benzene,5,Benzene0
23,2.338961649786641,0.27803428503035105,0.3836574571286917,2.68788154481869,Benzo(a)pyrene,5,Benzo(a)pyrene0
24,2.2381742981184614,0.9540809315087545,0.2980514420354031,2.9530373197526285,Benzo(a)pyrene,5,Benzo(a)pyrene1
25,1.0214289587239906,-4.458214138033189,-0.6496539402966595,-1.968416381626811,betaEndosulfan,2,betaEndosulfan0
26,2.932368614428315,0.7674623338723212,-0.5117190272173134,0.9267839633162779,betaEndosulfan,2,betaEndosulfan1
27,2.103547556278002,4.671546058001747,-2.675031215396268,-1.5651033089648074,betaEndosulfan,2,betaEndosulfan2
28,3.63525041348788,0.8364813685281177,0.8110626768361847,2.687625473471324,Biphenyl,5,Biphenyl0
29,0.2216583565078557,4.541016935982409,-0.23979933121152494,8.369428347780834,Carbaryl,1,Carbaryl0
30,0.6141355155783389,2.830745045995054,0.07181434575018954,7.050976546156771,Carbaryl,1,Carbaryl1
31,-4.21576919124868,-6.218527113228964,-14.117095237838702,1.7408734210997718,Chlorothalonil,3,Chlorothanolil0
32,-10.80824623722339,1.4887475916816417,-5.344527260161957,-5.561976229996826,Chlorothalonil,3,Chlorothanolil1
33,-8.011142193503174,8.119919144509586,-7.455440608188559,-1.5065234643423235,Chlorothalonil,3,Chlorothanolil2
34,3.1473239845155523,0.7937226816224917,0.87630972116462,1.2636626059071405,Chlorpyrifos,1,Chlorpyrifos0
35,5.775125788949345,-3.369546509433315,-0.30917356339738034,-2.7363596752394486,Chlorpyrifos,1,Chlorpyrifos1
36,8.27157434930409,-12.691995355345265,4.5296877404553735,-9.522595908008476,Cypermethrine,1,Cypermethrine0
37,14.61162404108292,-12.880863138459889,4.323918593337158,-4.154435547648621,Cypermethrine,1,Cypermethrine1
38,2.200270112710719,8.972251130207171,-6.899031066444319,-3.9547667318285997,DDD(2-4),1,DDD(2-4)0
39,2.1447992781770697,5.828707065826417,-1.905194417297006,-0.9349444980458952,DDD(2-4),1,DDD(2-4)1
40,1.0597167356143917,21.918747239188626,1.1095408464961787,-4.979486153947295,DDD(2-4),1,DDD(2-4)2
41,2.1241306683913397,-0.497778842737382,-2.7460019375420206,2.5213286127478876,Dicofol,1,Dicofol0
