"","bspline_1_1","bspline_2_1","bspline_3_1","bspline_4_1","bspline_5_1","bspline_6_1","bspline_7_1","bspline_8_1","bspline_9_1","bspline_1_2","bspline_2_2","bspline_3_2","bspline_4_2","bspline_5_2","bspline_6_2","bspline_7_2","bspline_8_2","bspline_9_2","bspline_1_3","bspline_2_3","bspline_3_3","bspline_4_3","bspline_5_3","bspline_6_3","bspline_7_3","bspline_8_3","bspline_9_3"
"Biphenyl",0.0566832110141121,0.00186946591612304,0.0684699170072716,0.0370776259706533,0.0313608060634542,-0.0208829117263544,0.0663098684744036,-0.0133992817807467,0.0330664592879805,0.0825990393378928,-0.121780352131629,0.552184213619969,-0.0708014424261559,0.402995290782078,0.117974520555035,0.106671254569303,-0.0393438749966061,0.00941817685132318,0,0,0,0,0,0,0,0,0
"Carbaryl",0.00313444061729542,0.0109922353786757,-0.0017181764740885,0.0140251581489531,-0.013149332100893,0.0151989311804281,0.0035712514743909,-0.00474994752164885,0.00854933211141693,0.00340460894546137,-0.00369249883572039,-0.00175616947701836,0.0110189488585863,0.0652999554525898,-0.0131050157408606,0.0772304512257032,-0.100560849448447,0.0492629799086013,0.291573661431063,0.152779045189269,0.24516730871743,0.0472880149341655,0.0458540603380304,-0.0451365179519577,0.0369032702990898,-0.00559794917133865,0.0450638362677755
"Chlorothalonil",0.134601396800331,-0.215327902325567,0.60934206974483,0.328879817148242,0.163571018807748,0.231086151398621,-0.189809246151717,-0.0736871587744753,-0.0787889429935674,0.168793949933172,-0.119618262111202,0.286641188062742,-0.00797679005318079,0.127561913949245,0.665429465662305,0.324525010295639,0.225794053701353,-0.0580954093417758,-0.00974297181065573,0.00582939140354926,0.0797871881545971,-0.195303847117068,0.1763675194281,0.066027652641917,0.102011760397685,0.224948864659752,-0.170551878392645
"Cypermethrine",0.0222123901599809,-0.0253866864196253,0.0483776510888262,-0.0337826970799151,0.0766614916917943,-0.146127689898626,0.403408036943997,0.0609625825748189,0.144369891442411,-0.064849668962869,0.378829671951597,1.26809602957273,1.56118997690581,0.888698669786335,-0.651167339699019,-0.573606814442198,-0.782296438443527,-0.758429445007852,-0.0282268047796483,0.063946112599942,-0.149366178893864,0.0347983137092616,-0.0254174690599978,0.0360076724111538,-0.0803410979670483,0.0257750000433864,0.0123441301243049
"DDD(2-4)",0.00484973969646436,0.00207410197331887,0.00537655208700424,0.035371553780605,0.0155633957108043,0.00933779008557221,0.018709115095163,0.0137610216238322,0.0102476481251465,0.0731000207328042,0.233601831304735,0.869749781770459,1.32709517730012,1.57504672909832,1.21287717380121,1.43782391589435,0.886859950305084,1.18260555095996,0.295939414327725,0.654288490516891,0.257487542742294,1.26258817599618,0.530517479662063,0.533736261244002,0.607542245926753,0.42309736790332,0.408925228089191
"Dicofol",0.0195762517856968,0.28221176741584,0.198577945969393,0.091318713439113,0.284692979821352,-0.0684886787323735,0.119280413918093,-0.0249463764081398,0.0742280713143072,-0.0429044991975836,0.0635301279205252,-0.0594481616126836,0.100323779424486,0.123846659178274,0.222286743319538,-0.147119290402295,0.183286204722741,0.0690694405992716,-0.0157877142249729,0.147408000185126,-0.0411280009076322,-0.109588621139726,0.0676622889209565,0.0874162797098537,0.0897265007013796,-0.0247400218123116,0.058538745357475
"H40",0.0263596619057231,-0.0228030676899624,0.087158660033891,-0.00506714026050922,0.178467148176416,-0.146491708810048,0.0267871619085745,-0.341204212910365,-0.0587512714302968,-0.0542327055990637,0.408753590283339,1.10102167630507,0.337139214863092,0.175427605130635,0.624431495877095,0.967920306347945,0.259003938477811,0.527446957299172,0.17364797416195,-0.153960004319835,-0.00406838388651983,-0.257933570238965,0.00946420124292089,0.489021872128728,0.350599679993521,0.273807908483683,0.245807141631597
"Ibuprofen",0.0306563821658327,-0.048658033770859,0.0755960182481849,0.0186116540236162,-0.079572726163409,0.166978300786795,0.105057644886369,-0.0329826561364508,0.0689017284763425,0.000145093784443965,-0.000273642254515917,0.00057075700227242,-0.00123236786743804,0.00990997572622926,-0.00626228974136268,0.00442848400553407,-0.00252791767446119,0.000913483959518518,-0.011195766755161,0.0180417174268479,-0.0255180866645609,0.027501085668922,-0.04955665259766,0.00752868877398404,-0.00151966107172159,-7.62706299362423e-05,0.000160739133754046
"Isodrin",-0.00041771894789249,0.0102510173835509,-0.0152218361145513,0.0307393051121787,-0.00619213530828192,0.0270439619097443,-0.0065998872115948,0.107720598947299,-0.0245151738762157,-0.114003927003586,0.177432370810847,-0.262667753981616,-0.352327334868306,-0.640175709617425,-0.621929858189115,-0.583871528245277,-0.82342785430084,-0.908640572475482,0,0,0,0,0,0,0,0,0
"L1000",0.0098051802907206,0.0024592367160065,0.0207444901721039,0.00722812670731371,0.0567091052590388,-0.103671545214269,0.488132366138016,-0.330850268403323,0.181772102718385,0.18957041479143,0.181037709621831,0.694056200019442,0.0842583182082343,0.327679735716109,-0.0953876191332949,0.0607116033515677,-0.00620018386345161,0.0502762987164557,0.0385744759874354,-0.0597247889056943,0.0683674216088223,0.0341703053343549,-0.0531011793641994,0.0933300738464902,-0.0243994455324158,0.0236597742445237,-0.00988102521418529
"Lindane",0.0251485056651854,0.0423187245430193,0.0140973404670287,0.0134136909498112,0.049941256740562,0.0149894490996476,-0.00917457167452407,0.00534402746148473,-0.00196571562154713,-0.0510133866693217,0.0823708878031727,-0.117261007627663,0.128909774465762,-0.263181094009872,-0.177116158021624,-0.547520404413408,-0.577213567863052,-0.621382125849367,-0.0325757994374095,0.0522355623198859,-0.0726462768069464,0.0737220250153088,-0.00312476280037595,-0.00260594094914789,0.00271086040881319,-0.00176572140761848,0.000668985719066963
"Methomyl",0.0214479810053985,0.0234625415589431,0.0368439406470684,0.0462721687520877,0.0617332259363807,0.0201976358284287,-0.607736831979651,-0.892662848335085,-0.794156019996013,0,0.000183950543079229,0,0.000282229061008,-0.00052848968510848,0.00095406020700557,0,0,0,-0.000632912637077755,0.0010292318923261,0,0.00175950244670635,-0.00466285576562443,0.0062888952585284,-0.00870957245745945,0.0081925736207898,0.00165394078658633
